N2,H2,CO,CO2,CH4,C2Hn,gas_LHV,gas_tar,gas_yield,char_yield,CGE,CCE
32.08,32,14,16.5,4,1.42,7.482462624,NaN,2.136596038,NaN,73,74.55602673
44.5,17,16,10.5,12,0,7.8070245,NaN,2.636856077,NaN,94,93.17920692
48.5,16,15,11.5,9,0,6.68826116,NaN,1.931892265,NaN,59,63.24684998
43.17,17.5,19,13,6.5,0.83,5.95161611,NaN,1.978118175,NaN,61,75.22475743
42.11,21,18,12.5,5,1.39,8.641499295,NaN,1.474049764,NaN,66,53.48988095
48.5,16,17.5,12,6,0,6.5846508,NaN,1.758635401,NaN,60,59.12466475
54,17,15,10,4,0,6.5153016,NaN,0.947922349,NaN,32,26.04495754
55,6.8,18.7,11.4,6,2.1,6.6,87.1,1.44,NaN,58.53329469,60.7079273
49.9,9.3,21.8,11,6,2,7.06,55.2,1.59,NaN,69.13506379,70.97151564
44.2,13,24.7,10.8,5.5,1.8,7.45,48.9,1.8,NaN,82.58959195,83.54918677
39,16,27.9,11,5.1,1,7.72,41.7,2.01,NaN,95.5674285,96.06335176
35.1,18.6,31.3,10.4,4.1,0.5,7.7,38.1,2.07,NaN,98.16521298,100.3816578
52.5,9.8,21.4,8.1,6,2.2,7.26,80.4,1.3,NaN,58.12681348,53.83270347
50.8,9,20.1,13.5,5.1,1.5,6.32,43.5,1.89,NaN,73.56570901,82.6815484
52,7.9,18.9,16.1,4.3,0.8,5.37,36.4,2.31,NaN,76.39814401,99.69533219
55.4,6.5,15.8,18.7,3.1,0.5,4.15,31.9,2.84,NaN,72.58769058,116.6610709
48.58,6.91,11.35,23.93,1.27,0.98,2.69,7.215,1.35,NaN,21.17,61.86184255
51.15,8.23,13.55,20.37,1.84,1.12,3.32,6.852,1.47,NaN,28.46,65.93502669
52.73,10.92,16.72,16.48,2.98,1.27,4.43,6.321,1.62,NaN,41.85,73.26045673
53.49,12.78,18.99,13.11,3.96,1.75,5.3,5.686,1.81,NaN,55.94,82.91667165
55.67,13.51,19.81,11.58,3.72,1.62,5.39,5.125,2.14,NaN,67.26,94.73683954
56.88,12.26,17.97,13.82,3.65,1.54,4.99,4.873,2.53,NaN,73.61,113.1288436
59.71,10.58,15.16,18.41,1.57,1.31,3.69,4.617,2.86,NaN,61.54,126.894029
61.3,7,14,13.5,3,1.2,4.3,3.733,1.849618014,NaN,54.34065934,62.22841634
58.3,9.5,13,15,2.7,1.6,4.6,7.163,2.066115702,NaN,63.63068749,71.90140201
66.5,8,10,12,2.4,1.1,3.7,2.987,2.032520325,NaN,51.1753998,55.53205575
58.3,9.5,13,15,2.7,1.6,4.6,2.011,1.721311475,NaN,53.44672131,59.90211885
58.3,9.5,13,15,2.7,1.6,4.6,2.011,1.92,NaN,61.07182418,66.81653486
45,9.5,18,13.5,4.5,2.3,6.3,9.981,1.764705882,NaN,73.21153846,72.80451681
51.69,16,16,14.25,1.76,0.3,4.65,0.55,2.3,NaN,61.38912974,75.79542724
51.94,15,20.5,11.5,0.95,0.11,4.7,0.075,2.6,NaN,70.14260547,86.30977058
53.08,13.75,20.5,12,0.62,0.05,4.3,0.075,2.75,NaN,67.87531175,91.5429027
55.72,12,23.75,8.25,0.25,0.03,4.4,0.02,3,NaN,75.76778986,96.07413985
56.29,12,21.5,9.75,0.4,0.06,4.35,0.03,3.4,NaN,84.89436455,107.6413208
0,71.5,9,7.5,12,NaN,13.152775,NaN,0.7746225,NaN,70.4107495,24.03283447
0,64,13,14,9,NaN,11.77288,NaN,0.908775,NaN,73.93848668,36.02119488
0,60,15,17,8,NaN,11.23539,NaN,1.168425,NaN,90.72363898,51.62527945
1,56,20,15,8,NaN,11.43572,NaN,1.341525,NaN,106.0214532,63.223543
0.5,52.5,25,14,8,NaN,11.689965,NaN,1.4808705,NaN,119.6359662,75.87870018
0,56,20,15,9,NaN,11.79455,9,0.912283784,NaN,74.36058536,43.96542311
0,57.5,18,17,8,NaN,11.344805,8.85,1.040939189,NaN,81.61197041,49.28882214
0,60,15,17.5,8,NaN,11.23539,7.85,1.181290541,NaN,91.72259797,52.88281703
0,60,15,17.5,8,NaN,11.23539,6.7,1.286554054,NaN,99.89589878,57.59514726
0,60,14.5,17.5,8,NaN,11.172225,6.55,1.111114865,NaN,85.78870263,49.15483763
0.5,60,14,17.5,8,NaN,11.10906,6.5,1.029243243,NaN,79.01814059,44.98968664
46.46,15.83,22.46,12.33,2.25,0.61,5.72,NaN,2,77.96610169,66.12716763,78.74034364
45.25,17.56,22.61,12.02,2.03,0.46,5.74,NaN,2.02739726,79.45205479,67.26740043,78.95640066
46.59,16.6,22.55,11.78,1.91,0.5,5.62,NaN,2.054794521,79.45205479,66.75112836,79.08212651
47.25,16.35,21.29,12.39,2.28,0.43,5.52,NaN,1.810344828,108.6206897,54.31034483,67.42342903
60.5,7.97,20.04,10.58,0.69,0.22,3.76,NaN,1.74,172,41.93846154,55.76224502
66.54,5.78,12.27,14.55,0.608,0.24,2.53,NaN,1.888888889,187.3015873,30.63390313,54.06624827
45.07,17.06,21.74,13.02,2.55,0.54,5.82,NaN,1.977272727,120.4545455,63.57860372,73.54044847
51.5,17.5,19.2,10.3,1.2,NaN,4.743157,NaN,NaN,NaN,NaN,NaN
